序号	单词	次数	列	行	频度
 1	a	5	1	3	0.044643
 2	ago	1	3	4	0.008929
 3	am	1	2	2	0.008929
 4	american	2	3	7	0.017857
 5	an	2	4	75	0.017857
 6	and	2	4	30	0.017857
 7	appalling	1	5	10	0.008929
 8	as	3	2	16	0.026786
 9	beacon	1	3	26	0.008929
10	been	1	3	37	0.008929
11	but	1	4	1	0.008929
12	by	1	4	25	0.008929
13	came	2	3	22	0.017857
14	captivity	1	3	58	0.008929
15	chains	1	4	32	0.008929
16	come	1	5	4	0.008929
17	condition	1	5	11	0.008929
18	corners	1	4	68	0.008929
19	crippled	1	4	24	0.008929
20	day-break	1	3	50	0.008929
21	decree	1	3	21	0.008929
22	demonstration	1	2	19	0.008929
23	discrimination	1	4	34	0.008929
24	down	1	2	13	0.008929
25	dramatize	1	5	8	0.008929
26	dream	1	1	4	0.008929
27	emancipation	1	3	17	0.008929
28	end	1	3	52	0.008929
29	exile	1	4	76	0.008929
30	finds	1	4	73	0.008929
31	five	1	3	1	0.008929
32	flames	1	3	41	0.008929
33	for	1	2	20	0.008929
34	free	1	4	11	0.008929
35	freedom	1	2	21	0.008929
36	go	1	2	12	0.008929
37	great	2	3	6	0.017857
38	greatest	1	2	18	0.008929
39	had	1	3	36	0.008929
40	happy	1	2	3	0.008929
41	have	2	1	2	0.017857
42	here	1	5	5	0.008929
43	himself	1	4	74	0.008929
44	his	1	4	78	0.008929
45	history	2	2	15	0.017857
46	hope	1	3	29	0.008929
47	hundred	4	4	3	0.035714
48	i	2	1	1	0.017857
49	in	8	2	9	0.071429
50	injustice	1	3	44	0.008929
51	is	3	4	8	0.026786
52	island	1	4	45	0.008929
53	it	1	3	45	0.008929
54	join	1	2	5	0.008929
55	joyous	1	3	49	0.008929
56	jr	1	1	8	0.008929
57	king	1	1	7	0.008929
58	land	1	4	80	0.008929
59	languished	1	4	65	0.008929
60	later	4	4	5	0.035714
61	life	1	4	17	0.008929
62	light	1	3	27	0.008929
63	lives	1	4	41	0.008929
64	lonely	1	4	44	0.008929
65	long	1	3	54	0.008929
66	luther	1	1	6	0.008929
67	manacles	1	4	27	0.008929
68	martin	1	1	5	0.008929
69	material	1	4	55	0.008929
70	midst	1	4	50	0.008929
71	millions	1	3	31	0.008929
72	momentous	1	3	20	0.008929
73	nation	1	2	27	0.008929
74	negro	5	3	33	0.044643
75	night	1	3	55	0.008929
76	not	1	4	10	0.008929
77	ocean	1	4	53	0.008929
78	of	12	2	25	0.107143
79	on	1	4	42	0.008929
80	one	4	4	2	0.035714
81	our	1	2	26	0.008929
82	own	1	4	79	0.008929
83	poverty	1	4	47	0.008929
84	proclamation	1	3	18	0.008929
85	prosperity	1	4	56	0.008929
86	sadly	1	4	23	0.008929
87	score	1	3	2	0.008929
88	seared	1	3	38	0.008929
89	segregation	1	4	29	0.008929
90	shadow	1	3	11	0.008929
91	signed	1	3	15	0.008929
92	slaves	1	3	34	0.008929
93	so	1	5	1	0.008929
94	society	1	4	71	0.008929
95	stand	1	3	13	0.008929
96	still	3	4	9	0.026786
97	symbolic	1	3	10	0.008929
98	the	14	2	17	0.125000
99	their	1	3	57	0.008929
100	this	1	3	19	0.008929
101	to	4	2	4	0.035714
102	today	3	2	8	0.026786
103	vast	1	4	52	0.008929
104	we	2	3	12	0.017857
105	what	1	2	10	0.008929
106	who	1	3	35	0.008929
107	whose	1	3	9	0.008929
108	will	1	2	11	0.008929
109	with	1	2	6	0.008929
110	withering	1	3	43	0.008929
111	years	5	3	3	0.044643
112	you	1	2	7	0.008929
