序号	单词	次数	列	行	频度
 1	a	35	1	3	0.064695
 2	able	7	16	27	0.012939
 3	again	2	10	27	0.003697
 4	ago	1	3	4	0.001848
 5	ahead	1	11	15	0.001848
 6	alabama	3	13	8	0.005545
 7	all	7	6	52	0.012939
 8	alleghenies	1	23	28	0.001848
 9	allow	2	10	18	0.003697
10	almighty	1	29	63	0.001848
11	alone	1	10	109	0.001848
12	also	1	7	101	0.001848
13	always	1	11	13	0.001848
14	am	2	2	2	0.003697
15	america	5	7	6	0.009242
16	american	4	3	7	0.007394
17	an	5	4	75	0.009242
18	and	39	4	30	0.072089
19	appalling	1	5	10	0.001848
20	arae	1	29	65	0.001848
21	architects	1	6	16	0.001848
22	are	6	7	19	0.011091
23	areas	1	12	34	0.001848
24	as	19	2	16	0.035120
25	ask	1	11	25	0.001848
26	at	4	16	32	0.007394
27	autumn	1	8	31	0.001848
28	awakening	1	8	64	0.001848
29	back	9	7	41	0.016636
30	bad	1	7	34	0.001848
31	bank	1	7	52	0.001848
32	bankrupt	1	7	56	0.001848
33	basic	1	11	97	0.001848
34	battered	1	12	42	0.001848
35	bave	1	8	62	0.001848
36	be	31	6	63	0.057301
37	beacon	1	3	26	0.001848
38	beautiful	1	21	53	0.001848
39	become	1	22	63	0.001848
40	been	2	3	37	0.003697
41	beginning	1	8	44	0.001848
42	believe	2	7	49	0.003697
43	believes	1	11	153	0.001848
44	bitterness	1	9	57	0.001848
45	black	4	6	55	0.007394
46	blow	1	8	53	0.001848
47	bodies	1	11	65	0.001848
48	bound	1	10	102	0.001848
49	boys	1	19	37	0.001848
50	bright	1	8	106	0.001848
51	brotherhood	3	7	186	0.005545
52	brothers	2	10	70	0.003697
53	brutality	2	11	55	0.003697
54	business	1	8	70	0.001848
55	but	6	4	1	0.011091
56	by	8	4	25	0.014787
57	california	1	25	9	0.001848
58	came	2	3	22	0.003697
59	can	6	11	17	0.011091
60	cannot	4	10	107	0.007394
61	capital	1	6	9	0.001848
62	captivity	1	3	58	0.001848
63	carolina	1	13	13	0.001848
64	cash	2	6	11	0.003697
65	catholics	1	29	38	0.001848
66	cells	1	12	27	0.001848
67	chains	1	4	32	0.001848
68	changed	1	13	42	0.001848
69	character	1	18	30	0.001848
70	check	5	6	13	0.009242
71	children	5	7	200	0.009242
72	cithzens	1	7	16	0.001848
73	cities	2	11	87	0.003697
74	citizenship	1	8	88	0.001848
75	city	1	29	13	0.001848
76	civil	1	11	29	0.001848
77	color	1	7	18	0.001848
78	colorado	1	24	9	0.001848
79	come	10	5	4	0.018484
80	community	1	10	53	0.001848
81	concerned	1	7	20	0.001848
82	condition	1	5	11	0.001848
83	conduct	1	10	4	0.001848
84	constitution	1	6	26	0.001848
85	content	2	8	60	0.003697
86	continue	2	8	96	0.003697
87	cooling	1	7	126	0.001848
88	corners	1	4	68	0.001848
89	country'tis	1	22	25	0.001848
90	created	1	15	33	0.001848
91	creative	2	10	20	0.003697
92	creed	1	15	21	0.001848
93	crippled	1	4	24	0.001848
94	cup	1	9	55	0.001848
95	curvaceous	1	25	6	0.001848
96	dark	1	7	154	0.001848
97	day	12	8	107	0.022181
98	day-break	1	3	50	0.001848
99	declaration	1	6	29	0.001848
100	decree	1	3	21	0.001848
101	deeds	1	9	40	0.001848
102	deeply	1	14	28	0.001848
103	defaulted	1	7	8	0.001848
104	degenerate	1	10	23	0.001848
105	demand	1	7	89	0.001848
106	democracy	1	7	145	0.001848
107	demonstration	1	2	19	0.001848
108	desert	1	17	10	0.001848
109	desolate	1	7	156	0.001848
110	despair	2	13	51	0.003697
111	destiny	2	10	84	0.003697
112	devotees	1	11	27	0.001848
113	died	1	22	40	0.001848
114	difficulties	1	14	14	0.001848
115	dignity	2	10	12	0.003697
116	discipline	1	10	14	0.001848
117	discontent	1	8	22	0.001848
118	discords	1	21	47	0.001848
119	discrimination	1	4	34	0.001848
120	distrust	1	10	60	0.001848
121	down	4	2	13	0.007394
122	dramatize	1	5	8	0.001848
123	dream	12	1	4	0.022181
124	drinking	1	9	52	0.001848
125	dripping	1	19	21	0.001848
126	drug	1	7	132	0.001848
127	emancipation	1	3	17	0.001848
128	emerges	1	8	110	0.001848
129	end	2	3	52	0.003697
130	engage	1	7	121	0.001848
131	engulfed	1	10	50	0.001848
132	equal	1	15	34	0.001848
133	equality	1	8	35	0.001848
134	even	2	14	9	0.003697
135	every	7	6	40	0.012939
136	evidenced	1	10	72	0.001848
137	evolt	1	8	94	0.001848
138	exalted	1	20	12	0.001848
139	exile	1	4	76	0.001848
140	face	1	14	12	0.001848
141	faith	5	12	69	0.009242
142	fall	1	6	44	0.001848
143	fatal	1	8	4	0.001848
144	fathers	1	22	39	0.001848
145	fatigue	1	11	69	0.001848
146	fierce	1	7	112	0.001848
147	finds	1	4	73	0.001848
148	five	1	3	1	0.001848
149	flames	1	3	41	0.001848
150	flesh	1	20	39	0.001848
151	for	9	2	20	0.016636
152	force	2	10	40	0.003697
153	forever	1	10	3	0.001848
154	former	2	16	17	0.003697
155	foundations	1	8	100	0.001848
156	four	1	18	3	0.001848
157	free	5	4	11	0.009242
158	freedom	20	2	21	0.036969
159	fresh	1	12	23	0.001848
160	friends	1	14	7	0.001848
161	from	17	7	152	0.031423
162	funds	2	7	44	0.003697
163	gain	1	11	74	0.001848
164	gaining	1	9	29	0.001848
165	gentiles	1	29	35	0.001848
166	georgia	3	13	17	0.005545
167	ghetto	1	11	103	0.001848
168	ghettos	1	13	28	0.001848
169	girls	1	19	40	0.001848
170	give	1	7	86	0.001848
171	given	1	7	29	0.001848
172	glory	1	20	30	0.001848
173	go	9	2	12	0.016636
174	god	1	29	62	0.001848
175	god's	3	7	199	0.005545
176	governor	1	19	17	0.001848
177	gradualism	1	7	134	0.001848
178	granted	1	8	86	0.001848
179	great	5	3	6	0.009242
180	greatest	1	2	18	0.001848
181	guaranteed	1	6	64	0.001848
182	guity	1	9	37	0.001848
183	had	1	3	36	0.001848
184	hallowed	1	7	105	0.001848
185	hampshire	1	23	11	0.001848
186	hands	1	29	44	0.001848
187	happiness	1	6	75	0.001848
188	happy	1	2	3	0.001848
189	has	5	7	7	0.009242
190	hatred	1	9	59	0.001848
191	have	18	1	2	0.033272
192	having	1	19	18	0.001848
193	he	1	11	154	0.001848
194	heat	1	17	21	0.001848
195	heavy	1	11	66	0.001848
196	heeat	1	17	15	0.001848
197	heightening	1	23	27	0.001848
198	heights	1	10	36	0.001848
199	heir	1	6	45	0.001848
200	her	1	7	15	0.001848
201	here	3	5	5	0.005545
202	hew	1	21	25	0.001848
203	high	1	10	9	0.001848
204	highways	1	11	81	0.001848
205	hill	2	20	14	0.003697
206	hills	1	16	11	0.001848
207	hilltops	1	23	8	0.001848
208	himself	1	4	74	0.001848
209	his	3	4	78	0.005545
210	history	2	2	15	0.003697
211	hold	1	15	23	0.001848
212	honoring	1	7	23	0.001848
213	hope	4	3	29	0.007394
214	horrors	1	11	52	0.001848
215	hotels	1	11	84	0.001848
216	hundred	4	4	3	0.007394
217	i	16	1	1	0.029575
218	if	2	8	65	0.003697
219	in	22	2	9	0.040665
220	independence	1	6	31	0.001848
221	inextricably	1	10	101	0.001848
222	injustice	3	3	44	0.005545
223	insofar	1	7	13	0.001848
224	instead	1	7	21	0.001848
225	insufficient	2	7	43	0.003697
226	interposition	1	19	26	0.001848
227	into	4	9	20	0.007394
228	invigorating	1	8	30	0.001848
229	is	23	4	8	0.042514
230	island	1	4	45	0.001848
231	it	6	3	45	0.011091
232	its	3	15	20	0.005545
233	jail	2	12	26	0.003697
234	jangling	1	21	46	0.001848
235	jews	1	29	33	0.001848
236	join	2	2	5	0.003697
237	joyous	1	3	49	0.001848
238	jr	1	1	8	0.001848
239	judged	1	18	18	0.001848
240	justice	8	7	54	0.014787
241	king	1	1	7	0.001848
242	knowing	2	13	33	0.003697
243	land	4	4	80	0.007394
244	languished	1	4	65	0.001848
245	larger	1	11	106	0.001848
